,variable,label,type
121,f1b18,Do you want to be involved in raising your child(ren) in upcoming years?,Unordered Categorical
122,f1b19,Does bio mom want you to be involved in raising the child(ren)?,Unordered Categorical
123,f1b20,Int chk: Are bio mom and bio dad living together?,Unordered Categorical
124,f1b21,Told bio mom you will provide financial supp. for baby during the coming year?,Unordered Categorical
126,f1b22a,"In last month, you and bio mom visited with friends?",Unordered Categorical
127,f1b22b,"In last month, you and bio mom went out to a movie, sporting event, etc?",Unordered Categorical
128,f1b22c,"In last month, you and bio mom ate out in a restaurant?",Unordered Categorical
129,f1b22d,"In last month, you and bio mom helped watch other solve a problem?",Unordered Categorical
130,f1b23a,"In last month, how often did you disagree about money?",Ordered Categorical
131,f1b23b,"In last month, how often did you disagree about spending time together?",Ordered Categorical
132,f1b23c,"In last month, how often did you disagree about sex?",Ordered Categorical
133,f1b23d,"In last month, how often did you disagree about the pregnancy?",Ordered Categorical
134,f1b23e,"In last month, how often did you disagree about drinking/drug use?",Ordered Categorical
135,f1b23f,"In last month, how often did you disagree about being faithful?",Ordered Categorical
136,f1b24a,How life different if NOT married to bio mom - Financial security?,Ordered Categorical
137,f1b24b,"How life diff if NOT married bio mom, Overall happiness?",Ordered Categorical
138,f1b24c,"How life diff if NOT married bio mom, Freedom to do?",Ordered Categorical
139,f1b24d,"How life diff if NOT married bio mom, Control over money?",Ordered Categorical
140,f1b24e,"How life diff if NOT married bio mom, Your sex life?",Ordered Categorical
141,f1b24f,"How life diff if NOT married bio mom, Relations w/parents?",Ordered Categorical
147,f1b26,"Found out she was preg., your rel. with bio mom got better, worse, same?",Ordered Categorical
148,f1b27,"Found out bio mom preg., did you think about her having an abortion?",Unordered Categorical
149,f1b28,Did you suggest that she have an abortion?,Unordered Categorical
150,cf1marm,Constructed - Is father married to child's mother?,Unordered Categorical
151,cf1cohm,Constructed - Is father cohabiting with baby's mother - not including marrieds?,Unordered Categorical
152,f1c1a,"Being father is one of the most fulfilling experiences for a man, Ag/Dis?",Ordered Categorical
153,f1c1b,"I want people to know I have a new child, Ag/Dis?",Ordered Categorical
154,f1c1c,"Not being a part of child's life would be one of the worst things, Ag/Dis?",Ordered Categorical
155,f1c2a,How imp is it to provide regular financial support to children?,Ordered Categorical
156,f1c2b,How imp is it to teach child about life?,Ordered Categorical
157,f1c2c,How imp is it to provide direct care to child?,Ordered Categorical
158,f1c2d,How imp is it to show love and affection to the child?,Ordered Categorical
159,f1c2e,How imp is it to provide protection for child?,Ordered Categorical
160,f1c2f,How imp is it to serve as authority figure and discipline the child?,Ordered Categorical
161,f1c3,Which of the above (Q. f1c2a-f1c2f) is the most important?,Unordered Categorical
162,f1c3a,Which of the above (Q. f1c2a-f1c2f) is the least important?,Unordered Categorical
163,f1c4a,If bio dad provides financial supp - right to see the child regularly?,Unordered Categorical
164,f1c4b,If bio dad provides financial supp - right to make decisions about child?,Unordered Categorical
165,f1c5a,If bio dad can afford financial supp but doesn't - right to see child?,Unordered Categorical
166,f1c5b,If bio dad can afford financial supp but doesn't - right to make decisions?,Unordered Categorical
167,f1c6a,If bio dad cannot afford financial supp - right to see the child regularly?,Unordered Categorical
168,f1c6b,If bio dad cannot afford financial supp - right to make decisions about child?,Unordered Categorical
169,f1c7,If bio mom has new partner - required to provide financial supp. to child?,Unordered Categorical
170,f1c8,If bio dad has baby w partner - should provide fin. supp. to other children?,Unordered Categorical
171,f1d1a,The main advantage of marriage is financial security?,Ordered Categorical
172,f1d1b,There are more advantages to being single than to being married?,Ordered Categorical
173,f1d1c,Single mother can bring up a child as well as married couple?,Ordered Categorical
174,f1d1d,It is better for a couple to get married than just live together?,Ordered Categorical
175,f1d1e,It is better for children if their parents are married?,Ordered Categorical
176,f1d1f,Living together is just the same as being married?,Ordered Categorical
177,f1d2a,"How imp for successful marriage, have same friends?",Ordered Categorical
178,f1d2b,"How imp for successful marriage, husband has steady job?",Ordered Categorical
179,f1d2c,"How imp for successful marriage, wife has steady job?",Ordered Categorical
180,f1d2d,"How imp for successful marriage, both same race/ethnic?",Ordered Categorical
181,f1d2e,"How imp for successful marriage, good sex?",Ordered Categorical
182,f1d2f,"How imp for successful marriage, share same religion?",Ordered Categorical
183,f1d2g,"How imp for successful marriage, both emotionally mature?",Ordered Categorical
184,f1d3a,"The imp decisions in the family should be done by the man, Ag/Dis?",Ordered Categorical
185,f1d3b,Should parents should stay together for the children even if don't get along?,Ordered Categorical
186,f1d3c,Is it better if husband earns the main living and woman cares for family?,Ordered Categorical
187,f1d3d,"In dating, a woman is largely out to take advantage of a man?",Ordered Categorical
188,f1d3e,"Women cannot be trusted to be faithful, Ag/Dis?",Ordered Categorical
189,f1d3f,"More important for man to spend time w/ his family than to work a lot, Ag/Dis?",Ordered Categorical
190,f1d3g,"Fathers play more important role in raising boys than in raising girls, Ag/Dis?",Ordered Categorical
191,f1e1b1,People who currently live in your HH - 1st relationship?,Unordered Categorical
192,f1e1b2,People who currently live in your HH - 2nd relationship?,Unordered Categorical
193,f1e1b3,People who currently live in your HH - 3rd relationship?,Unordered Categorical
199,f1e1c1,People who currently live in your HH - 1st gender?,Unordered Categorical
200,f1e1c2,People who currently live in your HH - 2nd gender?,Unordered Categorical
201,f1e1c3,People who currently live in your HH - 3rd gender?,Unordered Categorical
207,f1e1d1,People who currently live in your HH - 1st age?,Continuous
208,f1e1d2,People who currently live in your HH - 2nd age?,Continuous
209,f1e1d3,People who currently live in your HH - 3rd age?,Continuous
215,f1e1e1,People who currently live in your HH - 1st employment?,Unordered Categorical
216,f1e1e2,People who currently live in your HH - 2nd employment?,Unordered Categorical
223,f1e2,Were you living with both of your biological parents at age 15?,Unordered Categorical
224,f1e3,How involved in raising you was your biological father?,Ordered Categorical
225,f1e4,Was there another man who was like a father to you when growing up?,Unordered Categorical
226,f1e4a,Who was the person who was like a father to you?,Unordered Categorical
227,f1e5,"When you think about the kind of father you want to be, whom do you think of?",Unordered Categorical
228,f1e6a,During bio mom's preg did you receive any financial supp.?,Unordered Categorical
234,f1e6c,During bio mom's preg did you receive a place to live?,Unordered Categorical
240,f1e7a,"During next year, would someone in your fam. loan you $200?",Unordered Categorical
241,f1e7b,"During next year, would someone in your fam. provide you a place to live?",Unordered Categorical
242,cf1adult,Constructed - # of adults 18 or older in the HH,Continuous
243,cf1kids,Constructed - # of children under 18 in HH,Continuous
244,cf1gdad,Constructed - Baby's grandfather in the HH,Unordered Categorical
245,cf1gmom,Constructed - Baby's grandmother in the HH,Unordered Categorical
246,f1f1a,Number of years lived in your neighborhood?,Continuous
249,f1f2,Is the home/apt of your current residency owned or rented?,Unordered Categorical
250,f1f3,Do you live in a public housing projects?,Unordered Categorical
251,f1f4,Is the fed/state/local government helping you to pay your rent?,Unordered Categorical
252,f1f5,"How safe are streets by your home at night? (v.safe,safe,unsafe,v.unsafe)",Ordered Categorical
253,f1f6,About how often do you attend religious services?,Ordered Categorical
254,f1f7,What is your religious preference?,Unordered Categorical
255,f1f8,Can babyÃƒÂ•s mother receive welfare if she is married and living with her husband?,Unordered Categorical
256,f1f9,Can bio mom receive welfare if she is not married and lives with bio dad?,Unordered Categorical
257,f1f10a,How many years in total can a mother receive welfare?,Continuous
259,f1f11a,How many years can a mother receive welfare before she is required to work?,Continuous
261,f1f12,Can a judge make babyÃƒÂ•s father pay child support even if he wanted an abortion?,Unordered Categorical
262,f1f13,Can a blood test prove whether a man is really the child's father?,Unordered Categorical
263,f1f14,Did anyone at the hospital talk to you about establishing paternity?,Unordered Categorical
264,f1f15,"If bio dad doesn't want to marry likely, he'll be required to pay child supp.?",Ordered Categorical
265,f1g1,How is your health?,Ordered Categorical
266,f1g2,"In the past 3 months, how often did you drink alcohol?",Ordered Categorical
267,f1g2a,"In the past 3 months, did you ever drink more than 3 drinks a day ?",Unordered Categorical
268,f1g3,"In the past 3 months, how often did you use drugs?",Ordered Categorical
269,f1g4,"In the past 3 months, how many cigarettes did you smoke a day?",Ordered Categorical
270,f1g5,"In the past year, has drinking/drugs interfered with work/relationships?",Unordered Categorical
271,f1g6,Have you ever sought help for drugs/alcohol problems?,Unordered Categorical
272,f1g7,Are you very satisfied with yourself?,Unordered Categorical
273,f1g8,Do you feel often that you are being pushed around in life?,Unordered Categorical
274,f1g9a,"In the past week, how often have things bothered you?",Ordered Categorical
275,f1g9b,"In the past week, how often was your appetite poor?",Ordered Categorical
276,f1g9c,"In the past week, how often could you not shake off the blues?",Ordered Categorical
277,f1g9d,"In the past week, how often did you have trouble concentrating?",Ordered Categorical
278,f1g9e,"In the past week, how often did you feel depressed?",Ordered Categorical
279,f1g9f,"In the past week, how often did you feel everything was an effort?",Ordered Categorical
280,f1g9g,"In the past week, how often did you feel fearful?",Ordered Categorical
281,f1g9h,"In the past week, how often did you sleep restlessly?",Ordered Categorical
282,f1g9i,"In the past week, how often did you talk less than usual?",Ordered Categorical
283,f1g9j,"In the past week, how often did you feel lonely?",Ordered Categorical
284,f1g9k,"In the past week, how often did you feel sad?",Ordered Categorical
285,f1g9l,"In the past week, how often couldn't you get going?",Ordered Categorical
286,f1h2,Were you born in US?,Unordered Categorical
289,f1h3,What is your race?,Unordered Categorical
290,f1h3a,Are you of Hispanic/Latino origin?,Unordered Categorical
292,f1h4a,I feel attachment toward my racial/ethnic group? Agr/Disag,Ordered Categorical
293,f1h4b,I participate in cultural practices of my own group? Agr/Disag,Ordered Categorical
294,cf1edu,"Constructed - Father baseline education (father report, then mother report)",Ordered Categorical
296,cf1ethrace,Father race (first 3 waves combined father and mother report),Unordered Categorical
297,f1i1,Highest grade of regular school that you completed?,Unordered Categorical
298,f1i2,Have you ever received skills training from a gov. sponsored program?,Unordered Categorical
301,f1i3,"Ever attended a business college, vocational tech, or been an apprentice?",Unordered Categorical
302,f1i3a1,How many years did you attend this program?,Continuous
304,f1i4,Have you ever served in the military?,Unordered Categorical
305,f1j1,"Last week, did you do any regular work for pay?",Unordered Categorical
314,f1j6,How many hours/week do/did you work at your current/most recent job?,Continuous
315,f1j7a,Do/did you work for yourself or for someone else?,Unordered Categorical
316,f1j7bc,What sort of work do/did you do in your current/most recent job? - Broad,Unordered Categorical
317,f1j8,About how much did you earn?,Continuous
318,f1j8a,"Was that per hour, day, week, month, year?",Ordered Categorical
319,f1j9,Did/does your employer provide health insurance?,Unordered Categorical
320,f1j10,How much did you earn from all of your jobs in the last year?,Ordered Categorical
321,f1j11,"In last year, how many weeks did you spend at your regular job?",Continuous
322,f1j12,"When at these jobs, how many hours per week did you usually work?",Continuous
323,f1j13a,Off the books or under the table work?,Unordered Categorical
324,f1j13b,Work in own business?,Unordered Categorical
339,f1k1a,"In last year, did you have income from public assistance?",Unordered Categorical
340,f1k1b,"In last year, did you have income from Unemployment/SS/Disability?",Unordered Categorical
341,f1k1c,"In last year, did you have income from family and friends?",Unordered Categorical
342,f1k1d,"In last year, did you have income from no one else?",Unordered Categorical
347,f1k3,"In last yr, what was your total hh income before taxes?",Ordered Categorical
348,f1k4,What are your monthly expenses for rent or mortgage?,Continuous
349,f1k5,"At the end of the month, how much money do you usually have?",Ordered Categorical
350,f1k6,Do you own a car?,Unordered Categorical
351,cf1hhinc,Constructed - Household income (with imputed values),Continuous
352,cf1hhimp,Constructed - Flag variable for household income imputation,Unordered Categorical
353,cf1inpov,Constructed - Poverty ratio - mother's household income/poverty threshold,Continuous
354,cf1povca,Constructed - Poverty categories,Ordered Categorical
355,cf1finjail,"Constructed - father report, father in jail at his baseline interview",Unordered Categorical
356,cf1tele,Constructed - Was father interviewed by phone?,Unordered Categorical
357,cf1span,Constructed - Was the father interviewedin Spanish?,Unordered Categorical
424,f1citywt_rep1,Father baseline city replicate weight no. 1,Continuous
425,f1citywt_rep2,Father baseline city replicate weight no. 2,Continuous
426,f1citywt_rep3,Father baseline city replicate weight no. 3,Continuous
427,f1citywt_rep4,Father baseline city replicate weight no. 4,Continuous
428,f1citywt_rep5,Father baseline city replicate weight no. 5,Continuous
429,f1citywt_rep6,Father baseline city replicate weight no. 6,Continuous
430,f1citywt_rep7,Father baseline city replicate weight no. 7,Continuous
431,f1citywt_rep8,Father baseline city replicate weight no. 8,Continuous
432,f1citywt_rep9,Father baseline city replicate weight no. 9,Continuous
433,f1citywt_rep10,Father baseline city replicate weight no. 10,Continuous
436,cm1lenhr,What was the total length of interview - Hours,Continuous
437,cm1lenmin,What was the total length of interview - Minutes,Continuous
439,cm1fint,Constructed - Was father interviewed?,Unordered Categorical
445,cm1citsm,Constructed - In city sample - TLC3 flag,Unordered Categorical
446,m1citywt,Mother baseline city weight (20-cities population),Continuous
448,cm1citysm,In city sample - TLC3 flag,Unordered Categorical
450,m1a3,Have you picked up a (name/names) for the (baby/babies) yet?,Unordered Categorical
451,m1a4,Is respondent married to baby's father?,Unordered Categorical
452,m1a5,Will the baby (babies) have the father's last name?,Unordered Categorical
453,m1a6,Will the father's name be on the birth certificate?,Unordered Categorical
454,m1a7,Has bio dad visited you in the hospital?,Unordered Categorical
455,m1a8,When are you going home?,Ordered Categorical
456,m1a9,Do you feel ready to go home or would you rather stay longer?,Unordered Categorical
457,m1a10,Int chk: Is respondent married to (bio dad)?,Unordered Categorical
458,m1a11a,Will the baby live with mother?,Unordered Categorical
459,m1a11b,Will the baby live with father?,Unordered Categorical
460,m1a11c,Will baby live with other relatives?,Unordered Categorical
461,m1a11d,Will baby live with non-relatives?,Unordered Categorical
462,m1a12,Do you have other biological children?,Unordered Categorical
463,m1a12a,How many other biological children do you have?,Continuous
464,m1a13,Did you visit a doctor/other health care professional to check on the pregnancy?,Unordered Categorical
466,m1a15,How are you paying for the baby's birth?,Unordered Categorical
467,m1a16,Who does the baby looks like?,Unordered Categorical
468,cm1age,Constructed - Mother's age (years),Continuous
469,cm1bsex,Constructed - Focal baby's gender,Unordered Categorical
470,cm1lbw,Constructed - Low Birth Weight?,Unordered Categorical
471,cm1numb,Constructed - Number of babies born at current birth,Unordered Categorical
472,m1b0,Int chk: Is father unknown?,Unordered Categorical
473,m1b1a,How many years did you know Baby's Father before you got pregnant?,Continuous
474,m1b1b,How many months did you know Baby's Father before you got pregnant?,Continuous
475,m1b2,Int chk: Is respondent married (OFFICIAL MARRIAGE VARIABLE)?,Unordered Categorical
476,m1b3,Which statement best describes your current relationship with Baby's Father?,Ordered Categorical
499,m1b8,Are you and bio dad living together now?,Unordered Categorical
500,m1b9,Do you and bio dad have plans to live together or marry in the future?,Unordered Categorical
523,m1b10,Do you and bio dad have plans to marry in the future?,Unordered Categorical
535,m1b10b1,"Reasons aren't married now, No need to marry ?",Unordered Categorical
536,m1b10b2,"Reasons aren't married now, Timing problem ?",Unordered Categorical
537,m1b10b3,"Reasons aren't married now, Financial Reasons ?",Unordered Categorical
538,m1b10b4,"Reasons aren't married now, Distance ?",Unordered Categorical
539,m1b10b5,"Reasons aren't married now, Incarceration?",Unordered Categorical
540,m1b10b6,"Reasons aren't married now, Housing reasons ?",Unordered Categorical
541,m1b10b7,"Reasons aren't married now, Relationship reasons ?",Unordered Categorical
544,m1b10b10,"Reasons aren't married now, Haven't talked about it?",Unordered Categorical
545,m1b10b11,"Reasons aren't married now, Other specify?",Unordered Categorical
546,m1b11a,"In last month, did you and bio dad visited with friends?",Unordered Categorical
547,m1b11b,"In last month, did you and bio dad went out for entertainment(movie,sport)?",Unordered Categorical
548,m1b11c,"In last month, did you and bio dad eat out in a restaurant?",Unordered Categorical
549,m1b11d,"In last month, did you and bio dad did help each other to solve a problem?",Unordered Categorical
550,m1b12a,"In last month, how often did you and bio dad disagree about money?",Ordered Categorical
551,m1b12b,"In last month, how often did you and bio dad disagree about spending time?",Ordered Categorical
552,m1b12c,"In last month, how often did you and bio dad disagree about sex?",Ordered Categorical
553,m1b12d,"In last month, how often did you and bio dad disagree about the pregnancy?",Ordered Categorical
554,m1b12e,"In last month, how often did you and bio dad disagree about drug/alc use?",Ordered Categorical
555,m1b12f,"In last month, how often did you and bio dad disagree about being faithful?",Ordered Categorical
561,m1b14,What are the chances that you will marry bio dad in the future?,Ordered Categorical
562,m1b14a,What do you think are the chances that you will ever marry someone?,Ordered Categorical
563,m1b15a,"How life diff if married bio dad, financial security?",Ordered Categorical
564,m1b15b,"How life diff if married bio dad, overall happiness?",Ordered Categorical
565,m1b15c,"How life diff if married bio dad, freedom?",Ordered Categorical
566,m1b15d,"How life diff if married bio dad, control over money?",Ordered Categorical
567,m1b15e,"How life diff if married bio dad, sex life?",Ordered Categorical
568,m1b15f,"How life diff if married bio dad, relations w/parents?",Ordered Categorical
569,m1b16,"During preg, did bio dad give money to buy things for baby/babies?",Unordered Categorical
570,m1b17,"Did bio dad help you in any other way (transportation, etc)?",Unordered Categorical
571,m1b18,Do you want bio dad involved in raising your child (children)?,Unordered Categorical
572,m1b19,Does bio dad want to be involved in raising your child?,Unordered Categorical
573,m1b20,Int chk: Are mother and father living together?,Unordered Categorical
574,m1b21,Has bio dad told you that he will provide support for the baby?,Unordered Categorical
576,m1b22a,"In last month, did you and bio dad visit with friends?",Unordered Categorical
577,m1b22b,"In last month, did you and bio dad go out for entertainment (movie,sport)?",Unordered Categorical
578,m1b22c,"In last month, did you and bio dad ate out in a restaurant?",Unordered Categorical
579,m1b22d,"In last month, did you and bio dad help each other solve a problem?",Unordered Categorical
580,m1b23a,"In last month, how often did you and bio dad disagree on money?",Ordered Categorical
581,m1b23b,"In last month, how often did you and bio dad disagree on spending time?",Ordered Categorical
582,m1b23c,"In last month, how often did you and bio dad disagree on sex?",Ordered Categorical
583,m1b23d,"In last month, how often did you and bio dad disagree on pregnancy?",Ordered Categorical
584,m1b23e,"In last month, how often did you and bio dad disagree on drug/alco use?",Ordered Categorical
585,m1b23f,"In last month, how often did you and bio dad disagree on being faithful?",Ordered Categorical
586,m1b24a,If you were not married to bio dad how diff. would life be - financial security?,Ordered Categorical
587,m1b24b,"How life diff if NOT married bio dad, overall happiness?",Ordered Categorical
588,m1b24c,"How life diff if NOT married bio dad, your freedom?",Ordered Categorical
589,m1b24d,"How life diff if NOT married bio dad, control over money?",Ordered Categorical
590,m1b24e,"How life diff if NOT married bio dad, your sex life?",Ordered Categorical
591,m1b24f,"How life diff if NOT married bio dad, w/parents?",Ordered Categorical
597,m1b26,"After found out you were preg., how did your relationship with bio dad change?",Unordered Categorical
598,m1b27,"When you found out you were pregnant, did you think about having an abortion?",Unordered Categorical
599,m1b28,Did bio dad suggest that you have an abortion?,Unordered Categorical
600,cm1relf,Constructed-Household Relationship-mother,Ordered Categorical
601,cm1marf,Constructed - Is mother married to child's father?,Unordered Categorical
602,cm1cohf,Constructed - Is mother cohabiting with baby's father - not including marrieds?,Unordered Categorical
603,m1c1a,How imp is it for bio dad to provide regular financial support to children?,Ordered Categorical
604,m1c1b,How imp is it for bio dad to teach child about life?,Ordered Categorical
605,m1c1c,How imp is it for bio dad to provide direct care to child?,Ordered Categorical
606,m1c1d,How imp is it for bio dad to show love and affection to the child?,Ordered Categorical
607,m1c1e,How imp is it for bio dad to provide protection for child?,Ordered Categorical
608,m1c1f,How imp is it for bio dad to serve as authority figure and discipline the child?,Ordered Categorical
609,m1c2,Which of the statements above (Q. c1a-c1f) is most important to you?,Unordered Categorical
610,m1c2a,Which of the statements above (Q. c1a-c1f) is least important to you?,Unordered Categorical
611,m1c3a,If bio dad provides financial supp. to bio mom - right to see the child?,Unordered Categorical
612,m1c3b,If bio dad provides fin. supp. to bio mom - can make decisions about child?,Unordered Categorical
613,m1c4a,If bio dad can afford financial supp. but doesnÃƒÂ•t - right to see child?,Unordered Categorical
614,m1c4b,If bio dad can afford fin. supp. but doesnÃƒÂ•t - can make decisions about child?,Unordered Categorical
615,m1c5a,If bio dad can't afford to provide financial supp. -  right to see child?,Unordered Categorical
616,m1c5b,If bio dad can't afford to provide fin. supp. - can make decisions about child?,Unordered Categorical
617,m1c6,"If bio mom has a new partner, should bio dad be required to provide fin. supp.?",Unordered Categorical
618,m1c7,"If bio dad has baby w/another, should he be required to support other children?",Unordered Categorical
619,m1d1a,The main advantage of marriage is financial security?,Ordered Categorical
620,m1d1b,There are more advantages to being single than to being married?,Ordered Categorical
621,m1d1c,A single mother can bring up a child as well as a married couple?,Ordered Categorical
622,m1d1d,It is better for a couple to get married than just live together?,Ordered Categorical
623,m1d1e,It is better for children if their parents are married?,Ordered Categorical
624,m1d1f,Living together is just the same as being married?,Ordered Categorical
625,m1d2a,"How imp for successful marriage, have same friends?",Ordered Categorical
626,m1d2b,"How imp for successful marriage, husband has steady job?",Ordered Categorical
627,m1d2c,"How imp for successful marriage, wife has steady job?",Ordered Categorical
628,m1d2d,"How imp for successful marriage, both same race/ethnicity?",Ordered Categorical
629,m1d2e,"How imp for successful marriage, have good sex?",Ordered Categorical
630,m1d2f,"How imp for successful marriage, share same religion?",Ordered Categorical
631,m1d2g,"How imp for successful marriage, both emotionally mature?",Ordered Categorical
632,m1d3a,"The important decisions in the family should be done by the man, Ag/Dis?",Ordered Categorical
633,m1d3b,Parents should stay together for the children even if they don't get along?,Ordered Categorical
634,m1d3c,"It is better if husb. earns the main living and woman cares for family, Ag/Dis?",Ordered Categorical
635,m1d3d,"In dating, a man is largely out to take advantage of a woman, Ag/Dis?",Ordered Categorical
636,m1d3e,"Men cannot be trusted to be faithful, Ag/Dis?",Ordered Categorical
637,m1d3f,"More important for man to spend time with his family than to work a lot, Ag/Dis?",Ordered Categorical
638,m1d3g,"Fathers play more imp role in raising boys than girls, Ag/Dis?",Ordered Categorical
639,m1e1b1,People who currently live in your HH - 1st relationship?,Unordered Categorical
640,m1e1b2,People who currently live in your HH - 2nd relationship?,Unordered Categorical
641,m1e1b3,People who currently live in your HH - 3rd relationship?,Unordered Categorical
642,m1e1b4,People who currently live in your HH - 4th relationship?,Unordered Categorical
647,m1e1c1,People who currently live in your HH - 1st gender?,Unordered Categorical
648,m1e1c2,People who currently live in your HH - 2nd gender?,Unordered Categorical
649,m1e1c3,People who currently live in your HH - 3rd gender?,Unordered Categorical
650,m1e1c4,People who currently live in your HH - 4th gender?,Unordered Categorical
655,m1e1d1,People who currently live in your HH - 1st age?,Continuous
656,m1e1d2,People who currently live in your HH - 2nd age?,Continuous
657,m1e1d3,People who currently live in your HH - 3rd age?,Continuous
658,m1e1d4,People who currently live in your HH - 4th age?,Continuous
663,m1e1e1,People who currently live in your HH - 1st employment?,Unordered Categorical
664,m1e1e2,People who currently live in your HH - 2nd employment?,Unordered Categorical
671,m1e2,Were you living with both of your bio parents at age 15?,Unordered Categorical
672,m1e3a,"During your preg, did you receive financial supp. from anyone besides bio dad?",Unordered Categorical
673,m1e3b1,"Who gave you financial supp. during preg, your mother?",Unordered Categorical
674,m1e3b2,"Who gave you financial supp. during preg, your father?",Unordered Categorical
675,m1e3b3,"Who gave you financial supp. during preg, other relatives.?",Unordered Categorical
676,m1e3b4,"Who gave you financial supp. during preg, (bio dad) family?",Unordered Categorical
677,m1e3b5,"Who gave you financial supp. during preg, other?",Unordered Categorical
678,m1e3c,"During preg, did you receive a place to live?",Unordered Categorical
679,m1e3d1,"Who gave you a place to live, your mother?",Unordered Categorical
680,m1e3d2,"Who gave you a place to live, your father?",Unordered Categorical
681,m1e3d3,"Who gave you a place to live, other relatives?",Unordered Categorical
682,m1e3d4,"Who gave you a place to live, (bio dad) family?",Unordered Categorical
683,m1e3d5,"Who gave you a place to live, other?",Unordered Categorical
684,m1e3e,"During preg, did you receive child care?",Unordered Categorical
685,m1e3f1,"Who gave you child care, your mother?",Unordered Categorical
686,m1e3f2,"Who gave you child care, your father?",Unordered Categorical
687,m1e3f3,"Who gave you child care, other relatives?",Unordered Categorical
688,m1e3f4,"Who gave you child care, (bio dad) family?",Unordered Categorical
689,m1e3f5,"Who gave you child care, other?",Unordered Categorical
690,m1e4a,"Next yr, would someone in family loan you $200?",Unordered Categorical
691,m1e4b,"Next yr, would someone in family give place to live?",Unordered Categorical
692,m1e4c,"Next yr, would someone help you with babysitting/child care?",Unordered Categorical
693,cm1adult,Constructed - # of adults 18 or older in the HH,Continuous
694,cm1kids,Constructed - # of children under 18 in HH,Continuous
695,cm1gdad,Constructed - Baby's grandfather in the HH,Unordered Categorical
696,cm1gmom,Constructed - Baby's grandmother in the HH,Unordered Categorical
697,m1f1a,How long have you lived in neighborhood - Years?,Continuous
698,m1f1b,How long have you lived in neighborhood - months?,Continuous
700,m1f2,Is the home/apartment were you currently reside owned/rented?,Unordered Categorical
701,m1f3,Do you live in a public housing project?,Unordered Categorical
702,m1f4,Is the fed/state/local government helping to pay for your rent?,Unordered Categorical
